# animals 83, photos 824, i.p.a. 1, random 9268, algorithm 'stripecode', sc_mincost 0, sc_indelcost 0.500000, sc_useratios 1.
dbsize correctrank reciprank querytime
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 3 0.333333 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 4 0.250000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 6 0.166667 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 2 0.500000 0
16 1 1.000000 0.01
16 11 0.090909 0.01
16 14 0.071429 0
16 2 0.500000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 10 0.100000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 2 0.500000 0.01
16 5 0.200000 0
16 1 1.000000 0.01
16 3 0.333333 0.01
16 1 1.000000 0
16 5 0.200000 0.01
16 1 1.000000 0.01
16 6 0.166667 0
16 15 0.066667 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 9 0.111111 0
16 1 1.000000 0.01
16 8 0.125000 0
16 2 0.500000 0.01
16 1 1.000000 0.01
16 16 0.062500 0
16 1 1.000000 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 1 1.000000 0.01
16 6 0.166667 0
16 1 1.000000 0.01
16 12 0.083333 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 5 0.200000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 2 0.500000 0
16 12 0.083333 0.01
16 1 1.000000 0.01
16 1 1.000000 0.01
16 5 0.200000 0
16 8 0.125000 0.01
16 5 0.200000 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 4 0.250000 0.01
16 3 0.333333 0
16 1 1.000000 0.01
16 2 0.500000 0.01
16 16 0.062500 0
16 2 0.500000 0.01
16 8 0.125000 0
16 13 0.076923 0.01
16 1 1.000000 0.01
16 4 0.250000 0
16 1 1.000000 0.01
16 2 0.500000 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 9 0.111111 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 3 0.333333 0.01
16 11 0.090909 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 12 0.083333 0.01
16 3 0.333333 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 13 0.076923 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 5 0.200000 0.01
16 6 0.166667 0
16 9 0.111111 0.01
16 7 0.142857 0
16 12 0.083333 0.01
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 15 0.066667 0.01
16 15 0.066667 0
16 15 0.066667 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 7 0.142857 0
16 3 0.333333 0.01
16 16 0.062500 0.01
16 1 1.000000 0
16 3 0.333333 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 5 0.200000 0.01
16 1 1.000000 0.01
16 2 0.500000 0
16 1 1.000000 0.01
16 2 0.500000 0.01
16 9 0.111111 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 3 0.333333 0.01
16 2 0.500000 0.01
16 5 0.200000 0
16 14 0.071429 0.01
16 2 0.500000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 7 0.142857 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 9 0.111111 0
16 11 0.090909 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 15 0.066667 0.01
16 3 0.333333 0
16 6 0.166667 0.01
16 1 1.000000 0.01
16 11 0.090909 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 4 0.250000 0.01
16 5 0.200000 0
16 2 0.500000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 6 0.166667 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 6 0.166667 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 3 0.333333 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 12 0.083333 0
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 7 0.142857 0.01
16 2 0.500000 0
16 14 0.071429 0.01
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 4 0.250000 0.01
16 11 0.090909 0.01
16 2 0.500000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0
16 7 0.142857 0.01
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0
16 9 0.111111 0.01
16 1 1.000000 0.01
16 16 0.062500 0
16 5 0.200000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 5 0.200000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 4 0.250000 0.01
16 7 0.142857 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 7 0.142857 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 15 0.066667 0
16 3 0.333333 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 10 0.100000 0.01
16 10 0.100000 0
16 1 1.000000 0.01
16 4 0.250000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 2 0.500000 0
16 5 0.200000 0.01
16 1 1.000000 0.01
16 2 0.500000 0
16 8 0.125000 0.01
16 3 0.333333 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 2 0.500000 0.01
16 11 0.090909 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 3 0.333333 0
16 1 1.000000 0.01
16 6 0.166667 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 8 0.125000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 3 0.333333 0
16 13 0.076923 0.01
16 1 1.000000 0.01
16 12 0.083333 0
16 1 1.000000 0.01
16 12 0.083333 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 3 0.333333 0.01
16 13 0.076923 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 3 0.333333 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 2 0.500000 0.01
16 14 0.071429 0
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 13 0.076923 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 2 0.500000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 7 0.142857 0
16 1 1.000000 0.01
16 2 0.500000 0.01
16 10 0.100000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 2 0.500000 0
16 1 1.000000 0.01
16 5 0.200000 0.01
16 14 0.071429 0
16 1 1.000000 0.01
16 4 0.250000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 9 0.111111 0.01
16 6 0.166667 0
16 7 0.142857 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 8 0.125000 0.01
16 1 1.000000 0.01
16 11 0.090909 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 2 0.500000 0
16 1 1.000000 0.01
16 4 0.250000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 3 0.333333 0
16 4 0.250000 0.01
16 3 0.333333 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 9 0.111111 0
16 1 1.000000 0.01
16 2 0.500000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 4 0.250000 0
16 1 1.000000 0.01
16 3 0.333333 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 1 1.000000 0.01
16 9 0.111111 0
16 5 0.200000 0.01
16 4 0.250000 0.01
16 7 0.142857 0
16 10 0.100000 0
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 15 0.066667 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 6 0.166667 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 11 0.090909 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0
16 10 0.100000 0.01
16 5 0.200000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 11 0.090909 0.01
16 5 0.200000 0
16 1 1.000000 0.01
16 10 0.100000 0.01
16 1 1.000000 0
16 3 0.333333 0.01
16 4 0.250000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 5 0.200000 0.01
16 7 0.142857 0
16 2 0.500000 0.01
16 11 0.090909 0.01
16 7 0.142857 0
16 3 0.333333 0.01
16 1 1.000000 0.01
16 8 0.125000 0
16 1 1.000000 0.01
16 8 0.125000 0.01
16 2 0.500000 0
16 1 1.000000 0.01
16 8 0.125000 0.01
16 4 0.250000 0.01
16 3 0.333333 0
16 3 0.333333 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 2 0.500000 0.01
16 2 0.500000 0
16 10 0.100000 0.01
16 13 0.076923 0.01
16 5 0.200000 0
16 6 0.166667 0.01
16 1 1.000000 0.01
16 4 0.250000 0
16 1 1.000000 0.01
16 2 0.500000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 5 0.200000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 2 0.500000 0
16 3 0.333333 0.01
16 1 1.000000 0.01
16 1 1.000000 0.01
16 5 0.200000 0
16 4 0.250000 0.01
16 1 1.000000 0
16 13 0.076923 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 5 0.200000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 3 0.333333 0
16 1 1.000000 0.01
16 4 0.250000 0
16 1 1.000000 0.01
16 3 0.333333 0.01
16 7 0.142857 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 3 0.333333 0
16 1 1.000000 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 2 0.500000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 1 1.000000 0.01
16 1 1.000000 0.01
16 6 0.166667 0
16 1 1.000000 0.01
16 3 0.333333 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 3 0.333333 0
16 5 0.200000 0.01
16 4 0.250000 0
16 3 0.333333 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 5 0.200000 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 4 0.250000 0.01
16 2 0.500000 0
16 13 0.076923 0.01
16 2 0.500000 0.01
16 14 0.071429 0
16 8 0.125000 0.01
16 1 1.000000 0
16 14 0.071429 0.01
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0
16 3 0.333333 0.01
16 1 1.000000 0.01
16 14 0.071429 0
16 1 1.000000 0.01
16 4 0.250000 0.01
16 12 0.083333 0
16 4 0.250000 0.01
16 1 1.000000 0.01
16 1 1.000000 0.01
16 9 0.111111 0
16 7 0.142857 0.01
16 5 0.200000 0.01
16 14 0.071429 0
16 11 0.090909 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 2 0.500000 0.01
16 4 0.250000 0
16 4 0.250000 0.01
16 4 0.250000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 2 0.500000 0
16 3 0.333333 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 2 0.500000 0
16 14 0.071429 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 2 0.500000 0
16 8 0.125000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 2 0.500000 0.01
16 15 0.066667 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 1 1.000000 0.01
16 4 0.250000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 7 0.142857 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 16 0.062500 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 8 0.125000 0.01
16 1 1.000000 0.01
16 3 0.333333 0
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0
16 8 0.125000 0.01
16 1 1.000000 0.01
16 3 0.333333 0
16 12 0.083333 0.01
16 2 0.500000 0
16 3 0.333333 0.01
16 16 0.062500 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 3 0.333333 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 7 0.142857 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0
16 6 0.166667 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 3 0.333333 0.01
16 1 1.000000 0.01
16 10 0.100000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 6 0.166667 0
16 13 0.076923 0.01
16 2 0.500000 0.01
16 2 0.500000 0
16 1 1.000000 0.01
16 4 0.250000 0
16 1 1.000000 0.01
16 12 0.083333 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 10 0.100000 0.01
16 12 0.083333 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 2 0.500000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 16 0.062500 0
16 2 0.500000 0.01
16 5 0.200000 0.01
16 7 0.142857 0
16 5 0.200000 0.01
16 2 0.500000 0
16 4 0.250000 0.01
16 7 0.142857 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 2 0.500000 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 1 1.000000 0.01
16 4 0.250000 0
16 5 0.200000 0.01
16 6 0.166667 0.01
16 10 0.100000 0
16 15 0.066667 0.01
16 4 0.250000 0.01
16 2 0.500000 0.01
16 9 0.111111 0
16 13 0.076923 0.01
16 13 0.076923 0
16 6 0.166667 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 3 0.333333 0
16 6 0.166667 0.01
16 1 1.000000 0.01
16 2 0.500000 0
16 5 0.200000 0.01
16 2 0.500000 0
16 14 0.071429 0.01
16 1 1.000000 0.01
16 6 0.166667 0
16 11 0.090909 0.01
16 1 1.000000 0
16 7 0.142857 0.01
16 2 0.500000 0.01
16 4 0.250000 0
16 1 1.000000 0.01
16 7 0.142857 0.01
16 10 0.100000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 3 0.333333 0
16 2 0.500000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 4 0.250000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 3 0.333333 0.01
16 1 1.000000 0
16 2 0.500000 0.01
16 2 0.500000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 16 0.062500 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0
16 9 0.111111 0.01
16 1 1.000000 0.01
16 1 1.000000 0.01
16 4 0.250000 0
16 15 0.066667 0.01
16 10 0.100000 0
16 4 0.250000 0.01
16 2 0.500000 0
16 3 0.333333 0.01
16 1 1.000000 0.01
16 5 0.200000 0
16 1 1.000000 0.01
16 2 0.500000 0.01
16 7 0.142857 0
16 9 0.111111 0.01
16 1 1.000000 0
16 6 0.166667 0.01
16 15 0.066667 0.01
16 1 1.000000 0.01
16 2 0.500000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 3 0.333333 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 2 0.500000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 2 0.500000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 12 0.083333 0.01
16 8 0.125000 0.01
16 5 0.200000 0
16 1 1.000000 0.01
16 7 0.142857 0.01
16 1 1.000000 0.01
16 9 0.111111 0
16 1 1.000000 0.01
16 6 0.166667 0
16 1 1.000000 0
16 13 0.076923 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 16 0.062500 0.01
16 1 1.000000 0.01
16 9 0.111111 0
16 5 0.200000 0.01
16 7 0.142857 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 13 0.076923 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 16 0.062500 0
16 4 0.250000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 11 0.090909 0
16 3 0.333333 0.01
16 4 0.250000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 7 0.142857 0.01
16 16 0.062500 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 6 0.166667 0
16 9 0.111111 0.01
16 14 0.071429 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0
16 14 0.071429 0.01
16 1 1.000000 0.01
16 3 0.333333 0
16 10 0.100000 0.01
16 1 1.000000 0.01
16 2 0.500000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 2 0.500000 0.01
16 1 1.000000 0.01
16 2 0.500000 0
16 1 1.000000 0.01
16 16 0.062500 0.01
16 1 1.000000 0.01
16 4 0.250000 0
16 2 0.500000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 5 0.200000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 15 0.066667 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 10 0.100000 0.01
16 16 0.062500 0
16 2 0.500000 0.01
16 1 1.000000 0.01
16 13 0.076923 0
16 1 1.000000 0.01
16 3 0.333333 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 6 0.166667 0.01
16 1 1.000000 0
16 7 0.142857 0.01
16 8 0.125000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 16 0.062500 0.01
16 1 1.000000 0
16 8 0.125000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 2 0.500000 0.01
16 3 0.333333 0
16 1 1.000000 0.01
16 6 0.166667 0.01
16 3 0.333333 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 2 0.500000 0.01
16 2 0.500000 0
16 15 0.066667 0.01
16 7 0.142857 0
16 1 1.000000 0.01
16 3 0.333333 0.01
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 8 0.125000 0.01
16 1 1.000000 0
16 8 0.125000 0.01
16 3 0.333333 0.01
16 1 1.000000 0
16 3 0.333333 0.01
16 6 0.166667 0.01
16 3 0.333333 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 14 0.071429 0
16 4 0.250000 0.01
16 1 1.000000 0.01
16 5 0.200000 0
16 1 1.000000 0.01
16 2 0.500000 0
16 6 0.166667 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 6 0.166667 0.01
16 9 0.111111 0
16 1 1.000000 0.01
16 2 0.500000 0.01
16 1 1.000000 0
16 3 0.333333 0.01
16 1 1.000000 0.01
16 10 0.100000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 16 0.062500 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 5 0.200000 0.01
16 2 0.500000 0.01
16 1 1.000000 0
16 3 0.333333 0.01
16 1 1.000000 0.01
16 3 0.333333 0
16 4 0.250000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 1 1.000000 0.01
16 1 1.000000 0.01
16 1 1.000000 0
16 11 0.090909 0.01
16 1 1.000000 0.01
